dp,minDist,param1,param2,minRadius,maxRadius,f1_score
1.0,21.0,150.0,19.0,7.0,20.0,0.6627833819019471
1.0,21.0,250.0,19.0,7.0,20.0,0.6627833819019471
1.0,21.0,300.0,19.0,7.0,20.0,0.6627833819019471
1.0,21.0,200.0,19.0,7.0,20.0,0.6627833819019471
1.0,24.0,150.0,19.0,7.0,20.0,0.6578307287872646
1.0,24.0,300.0,19.0,7.0,20.0,0.6578307287872646
1.0,24.0,200.0,19.0,7.0,20.0,0.6578307287872646
1.0,24.0,250.0,19.0,7.0,20.0,0.6578307287872646
1.0,18.0,250.0,19.0,7.0,20.0,0.656608698254325
1.0,18.0,150.0,19.0,7.0,20.0,0.656608698254325
1.0,18.0,200.0,19.0,7.0,20.0,0.656608698254325
1.0,18.0,300.0,19.0,7.0,20.0,0.656608698254325
1.0,21.0,150.0,20.0,5.0,20.0,0.6532245897641134
1.0,21.0,300.0,20.0,5.0,20.0,0.6532245897641134
1.0,21.0,200.0,20.0,5.0,20.0,0.6532245897641134
1.0,21.0,250.0,20.0,5.0,20.0,0.6532245897641134
1.0,24.0,250.0,18.0,7.0,20.0,0.6511434706149699
1.0,24.0,300.0,18.0,7.0,20.0,0.6511434706149699
1.0,24.0,200.0,18.0,7.0,20.0,0.6511434706149699
1.0,24.0,150.0,18.0,7.0,20.0,0.6511434706149699
1.0,24.0,300.0,20.0,5.0,20.0,0.6506194628669978
1.0,24.0,250.0,20.0,5.0,20.0,0.6506194628669978
1.0,24.0,200.0,20.0,5.0,20.0,0.6506194628669978
1.0,24.0,150.0,20.0,5.0,20.0,0.6506194628669978
1.0,27.0,250.0,19.0,7.0,20.0,0.6468955155920842
1.0,27.0,200.0,19.0,7.0,20.0,0.6468955155920842
1.0,27.0,150.0,19.0,7.0,20.0,0.6468955155920842
1.0,27.0,300.0,19.0,7.0,20.0,0.6468955155920842
1.0,21.0,150.0,18.0,7.0,20.0,0.6461970380957672
1.0,21.0,300.0,18.0,7.0,20.0,0.6461970380957672
1.0,21.0,250.0,18.0,7.0,20.0,0.6461970380957672
1.0,21.0,200.0,18.0,7.0,20.0,0.6461970380957672
1.0,15.0,150.0,19.0,7.0,20.0,0.6455167582325818
1.0,15.0,200.0,19.0,7.0,20.0,0.6455167582325818
1.0,15.0,300.0,19.0,7.0,20.0,0.6455167582325818
1.0,15.0,250.0,19.0,7.0,20.0,0.6455167582325818
1.0,18.0,150.0,20.0,5.0,20.0,0.6417252786992127
1.0,18.0,250.0,20.0,5.0,20.0,0.6417252786992127
1.0,18.0,200.0,20.0,5.0,20.0,0.6417252786992127
1.0,18.0,300.0,20.0,5.0,20.0,0.6417252786992127
1.0,27.0,250.0,18.0,7.0,20.0,0.6403014997442175
1.0,27.0,200.0,18.0,7.0,20.0,0.6403014997442175
1.0,27.0,300.0,18.0,7.0,20.0,0.6403014997442175
1.0,27.0,150.0,18.0,7.0,20.0,0.6403014997442175
1.0,24.0,250.0,19.0,5.0,20.0,0.6402025689850406
1.0,24.0,200.0,19.0,5.0,20.0,0.6402025689850406
1.0,24.0,150.0,19.0,5.0,20.0,0.6402025689850406
1.0,24.0,300.0,19.0,5.0,20.0,0.6402025689850406
1.0,24.0,200.0,15.0,5.0,15.0,0.6397805537642572
1.0,24.0,150.0,15.0,5.0,15.0,0.6397805537642572
1.0,24.0,300.0,15.0,5.0,15.0,0.6397805537642572
1.0,24.0,250.0,15.0,5.0,15.0,0.6397805537642572
1.0,21.0,200.0,17.0,9.0,20.0,0.6395118943528993
1.0,21.0,150.0,17.0,9.0,20.0,0.6395118943528993
1.0,21.0,250.0,17.0,9.0,20.0,0.6395118943528993
1.0,21.0,300.0,17.0,9.0,20.0,0.6395118943528993
1.0,24.0,250.0,17.0,9.0,20.0,0.6374822547620673
1.0,24.0,150.0,17.0,9.0,20.0,0.6374822547620673
1.0,24.0,200.0,17.0,9.0,20.0,0.6374822547620673
1.0,24.0,300.0,17.0,9.0,20.0,0.6374822547620673
1.0,27.0,300.0,20.0,5.0,20.0,0.6367131047433291
1.0,27.0,250.0,20.0,5.0,20.0,0.6367131047433291
1.0,27.0,200.0,20.0,5.0,20.0,0.6367131047433291
1.0,27.0,150.0,20.0,5.0,20.0,0.6367131047433291
1.0,21.0,250.0,18.0,9.0,20.0,0.6361210450347957
1.0,21.0,150.0,18.0,9.0,20.0,0.6361210450347957
1.0,21.0,200.0,18.0,9.0,20.0,0.6361210450347957
1.0,21.0,300.0,18.0,9.0,20.0,0.6361210450347957
1.0,21.0,200.0,19.0,5.0,20.0,0.6356594909499846
1.0,21.0,300.0,19.0,5.0,20.0,0.6356594909499846
1.0,21.0,150.0,19.0,5.0,20.0,0.6356594909499846
1.0,21.0,250.0,19.0,5.0,20.0,0.6356594909499846
1.0,27.0,150.0,19.0,5.0,20.0,0.6356281418777221
1.0,27.0,250.0,19.0,5.0,20.0,0.6356281418777221
1.0,27.0,300.0,19.0,5.0,20.0,0.6356281418777221
1.0,27.0,200.0,19.0,5.0,20.0,0.6356281418777221
1.0,21.0,300.0,16.0,5.0,15.0,0.6335993035623181
1.0,21.0,250.0,16.0,5.0,15.0,0.6335993035623181
1.0,21.0,200.0,16.0,5.0,15.0,0.6335993035623181
1.0,21.0,150.0,16.0,5.0,15.0,0.6335993035623181
1.0,21.0,150.0,20.0,7.0,20.0,0.6335532345138313
1.0,21.0,250.0,20.0,7.0,20.0,0.6335532345138313
1.0,21.0,300.0,20.0,7.0,20.0,0.6335532345138313
1.0,21.0,200.0,20.0,7.0,20.0,0.6335532345138313
1.0,18.0,200.0,18.0,9.0,20.0,0.6327914162911297
1.0,18.0,300.0,18.0,9.0,20.0,0.6327914162911297
1.0,18.0,150.0,18.0,9.0,20.0,0.6327914162911297
1.0,18.0,250.0,18.0,9.0,20.0,0.6327914162911297
1.0,21.0,200.0,15.0,5.0,15.0,0.6324566377332146
1.0,21.0,250.0,15.0,5.0,15.0,0.6324566377332146
1.0,21.0,300.0,15.0,5.0,15.0,0.6324566377332146
1.0,21.0,150.0,15.0,5.0,15.0,0.6324566377332146
1.0,21.0,200.0,23.0,7.0,25.0,0.6323998646377216
1.0,21.0,250.0,23.0,7.0,25.0,0.6323998646377216
1.0,21.0,300.0,23.0,7.0,25.0,0.6323998646377216
1.0,21.0,150.0,23.0,7.0,25.0,0.6323998646377216
1.0,18.0,150.0,17.0,9.0,20.0,0.6321075865460258
1.0,18.0,300.0,17.0,9.0,20.0,0.6321075865460258
1.0,18.0,250.0,17.0,9.0,20.0,0.6321075865460258
1.0,18.0,200.0,17.0,9.0,20.0,0.6321075865460258
1.0,18.0,150.0,16.0,5.0,15.0,0.6312304927715691
1.0,18.0,250.0,16.0,5.0,15.0,0.6312304927715691
1.0,18.0,300.0,16.0,5.0,15.0,0.6312304927715691
1.0,18.0,200.0,16.0,5.0,15.0,0.6312304927715691
1.0,18.0,250.0,20.0,7.0,20.0,0.6311740109761872
1.0,18.0,150.0,20.0,7.0,20.0,0.6311740109761872
1.0,18.0,300.0,20.0,7.0,20.0,0.6311740109761872
1.0,18.0,200.0,20.0,7.0,20.0,0.6311740109761872
1.0,24.0,200.0,18.0,9.0,20.0,0.6309012578000139
1.0,24.0,300.0,18.0,9.0,20.0,0.6309012578000139
1.0,24.0,250.0,18.0,9.0,20.0,0.6309012578000139
1.0,24.0,150.0,18.0,9.0,20.0,0.6309012578000139
1.0,18.0,250.0,18.0,7.0,20.0,0.6306082828879167
1.0,18.0,300.0,18.0,7.0,20.0,0.6306082828879167
1.0,18.0,200.0,18.0,7.0,20.0,0.6306082828879167
1.0,18.0,150.0,18.0,7.0,20.0,0.6306082828879167
1.0,24.0,300.0,16.0,5.0,15.0,0.6298677942424509
1.0,24.0,200.0,16.0,5.0,15.0,0.6298677942424509
1.0,24.0,150.0,16.0,5.0,15.0,0.6298677942424509
1.0,24.0,250.0,16.0,5.0,15.0,0.6298677942424509
1.0,24.0,250.0,23.0,7.0,25.0,0.6295461806060597
1.0,24.0,200.0,23.0,7.0,25.0,0.6295461806060597
1.0,24.0,300.0,23.0,7.0,25.0,0.6295461806060597
1.0,24.0,150.0,23.0,7.0,25.0,0.6295461806060597
1.0,21.0,150.0,24.0,5.0,25.0,0.6291379977728864
1.0,21.0,300.0,24.0,5.0,25.0,0.6291379977728864
1.0,21.0,200.0,24.0,5.0,25.0,0.6291379977728864
1.0,21.0,250.0,24.0,5.0,25.0,0.6291379977728864
1.0,15.0,150.0,20.0,5.0,20.0,0.6289675713387695
1.0,15.0,200.0,20.0,5.0,20.0,0.6289675713387695
1.0,15.0,250.0,20.0,5.0,20.0,0.6289675713387695
1.0,15.0,300.0,20.0,5.0,20.0,0.6289675713387695
1.0,24.0,200.0,22.0,7.0,25.0,0.6285027065616529
1.0,24.0,250.0,22.0,7.0,25.0,0.6285027065616529
1.0,24.0,150.0,22.0,7.0,25.0,0.6285027065616529
1.0,24.0,300.0,22.0,7.0,25.0,0.6285027065616529
1.0,15.0,150.0,20.0,7.0,20.0,0.6280802519484512
1.0,15.0,250.0,20.0,7.0,20.0,0.6280802519484512
1.0,15.0,300.0,20.0,7.0,20.0,0.6280802519484512
1.0,15.0,200.0,20.0,7.0,20.0,0.6280802519484512
1.0,15.0,300.0,18.0,9.0,20.0,0.6271842501164143
